DJ Name,Stage,China Start Time,China End Time,China Date,China Day of Week,Duration (minutes)
SAAVEDRA,kineticFIELD,10:00,11:00,2025-05-17,星期六,60
BENNİ,kineticFIELD,11:00,12:00,2025-05-17,星期六,60
CELEBRATION CEREMONY,kineticFIELD,12:00,12:10,2025-05-17,星期六,10
ACRAZE,kineticFIELD,12:10,13:10,2025-05-17,星期六,60
ERIC PRYDZ,kineticFIELD,13:15,14:30,2025-05-17,星期六,75
ILLENIUM,kineticFIELD,14:35,15:50,2025-05-17,星期六,75
ALESSO B2B ISLANDER,kineticFIELD,15:55,17:10,2025-05-17,星期六,75
ZEDD,kineticFIELD,17:15,18:30,2025-05-17,星期六,75
KASKADE AND DEADMAU5 PRESENT Kx5,kineticFIELD,18:30,19:30,2025-05-17,星期六,60
MEDUZA,kineticFIELD,19:30,20:30,2025-05-17,星期六,60
CLOSING CEREMONY,kineticFIELD,20:30,20:43,2025-05-17,星期六,13
CHYLORDAM,cosmicMEADOW,10:00,11:00,2025-05-17,星期六,60
BRUITALISMUS 3000,cosmicMEADOW,11:00,12:00,2025-05-17,星期六,60
DEORRO,cosmicMEADOW,12:00,13:00,2025-05-17,星期六,60
METROPOLIS,cosmicMEADOW,13:00,14:00,2025-05-17,星期六,60
SARA LANDRY,cosmicMEADOW,14:00,15:15,2025-05-17,星期六,75
KAAZE B2B TAZZO,cosmicMEADOW,15:15,16:30,2025-05-17,星期六,75
SHERMANOLOGY,cosmicMEADOW,16:30,17:30,2025-05-17,星期六,60
ARMİN VAN BUUREN B2B TECHNOPOLIS,cosmicMEADOW,17:30,18:30,2025-05-17,星期六,60
GOOD TIMES AHEAD,cosmicMEADOW,18:30,19:30,2025-05-17,星期六,60
GOODBOYS,cosmicMEADOW,19:30,20:30,2025-05-17,星期六,60
CORREN FOOT,circuitGROUNDS,10:00,11:00,2025-05-17,星期六,60
MAU P,circuitGROUNDS,11:00,12:00,2025-05-17,星期六,60
JOHN SUMMIT,circuitGROUNDS,12:00,13:00,2025-05-17,星期六,60
SIDEPIECE,circuitGROUNDS,13:00,14:00,2025-05-17,星期六,60
CHARLOTTE DE WITTE,circuitGROUNDS,14:00,15:15,2025-05-17,星期六,75
TCHAMI x MALAA: NO REDEMPTION,circuitGROUNDS,15:15,16:30,2025-05-17,星期六,75
DOM DOLLA,circuitGROUNDS,16:30,17:45,2025-05-17,星期六,75
VINTAGE CULTURE B2B X POPOF,circuitGROUNDS,17:45,19:00,2025-05-17,星期六,75
CHRIS LAKE,circuitGROUNDS,19:00,20:15,2025-05-17,星期六,75
COLE KNIGHT,neonGARDEN,10:00,11:00,2025-05-17,星期六,60
ELI BROWN,neonGARDEN,11:00,12:00,2025-05-17,星期六,60
HONEYLUV,neonGARDEN,12:00,13:00,2025-05-17,星期六,60
WAX MOTIF B2B BROTHERS,neonGARDEN,13:00,14:30,2025-05-17,星期六,90
PATRICK TOPPING,neonGARDEN,14:30,16:00,2025-05-17,星期六,90
LOCO DICE,neonGARDEN,16:00,17:30,2025-05-17,星期六,90
GREEN VELVET,neonGARDEN,17:30,19:00,2025-05-17,星期六,90
VINTAGE CULTURE,neonGARDEN,19:00,20:30,2025-05-17,星期六,90
FURY WITH MC DINO,bassPOD,10:00,11:00,2025-05-17,星期六,60
IMANU,bassPOD,11:00,12:00,2025-05-17,星期六,60
ANDY C,bassPOD,12:00,13:00,2025-05-17,星期六,60
JESSICA AUDIFFRED,bassPOD,13:00,14:00,2025-05-17,星期六,60
SWODEN DEATH,bassPOD,14:00,15:00,2025-05-17,星期六,60
DIMENSION,bassPOD,15:00,16:00,2025-05-17,星期六,60
LEVEL UP,bassPOD,16:00,17:00,2025-05-17,星期六,60
SVDDEN DEATH,bassPOD,17:00,18:00,2025-05-17,星期六,60
KILL THE NOISE,bassPOD,18:00,19:00,2025-05-17,星期六,60
ZOMBOY,bassPOD,19:00,20:30,2025-05-17,星期六,90
ARCH ANGEL CANNON,wasteLAND,10:00,11:00,2025-05-17,星期六,60
LNY TNZ,wasteLAND,11:00,12:00,2025-05-17,星期六,60
LIL TEXAS,wasteLAND,12:00,13:00,2025-05-17,星期六,60
SUB ZERO PROJECT,wasteLAND,13:00,14:00,2025-05-17,星期六,60
LADY DAMMAGE,wasteLAND,14:00,15:00,2025-05-17,星期六,60
DARREN STYLES,wasteLAND,15:00,16:00,2025-05-17,星期六,60
SUBTRONICS,wasteLAND,16:00,17:00,2025-05-17,星期六,60
SOUND RUSH,wasteLAND,17:00,18:00,2025-05-17,星期六,60
DEATHPACT,wasteLAND,18:00,19:00,2025-05-17,星期六,60
DESTRUCTO,wasteLAND,19:00,20:30,2025-05-17,星期六,90
TRITONAL,quantumVALLEY,10:00,11:00,2025-05-17,星期六,60
XİJARD,quantumVALLEY,11:00,12:00,2025-05-17,星期六,60
PAUL VAN DYK,quantumVALLEY,12:00,13:00,2025-05-17,星期六,60
MARLO,quantumVALLEY,13:00,14:00,2025-05-17,星期六,60
MADDİX B2B BEN NICKY,quantumVALLEY,14:00,15:15,2025-05-17,星期六,75
HANNAH LAING,quantumVALLEY,15:15,16:30,2025-05-17,星期六,75
GIUSEPPE OTTAVIANI,quantumVALLEY,16:30,17:45,2025-05-17,星期六,75
FERRY CORSTEN,quantumVALLEY,17:45,19:00,2025-05-17,星期六,75
ABOVE & BEYOND,quantumVALLEY,19:00,20:30,2025-05-17,星期六,90
BLOSSOM,stereoBLOOM,10:00,11:00,2025-05-17,星期六,60
TWENTY SIX,stereoBLOOM,11:00,12:00,2025-05-17,星期六,60
ARMNHMR,stereoBLOOM,12:00,13:00,2025-05-17,星期六,60
HUGEL & FJENDS,stereoBLOOM,13:00,14:00,2025-05-17,星期六,60
CALUSSA,stereoBLOOM,14:00,15:00,2025-05-17,星期六,60
ODEN & FATZO (LIVE),stereoBLOOM,15:00,16:00,2025-05-17,星期六,60
DR. FRESCH,stereoBLOOM,16:00,17:00,2025-05-17,星期六,60
WAX MOTIF,stereoBLOOM,17:00,18:00,2025-05-17,星期六,60
